"MARCA","CODIGO_PRODUTO","DESCRICAO","MEDIA_VENDAS","VL_TOTAL_VENDIDO","QTD_CLIENTES","QT_TOTAL_VENDIDAS"
VERSOTOOLS,2028,ESPATULA DE ACO  6CM DTOOLS,8.18,283.5,9,90
VERSOTOOLS,2028,ESPATULA DE ACO  6CM DTOOLS,16,98.88,2,32
VERSOTOOLS,2028,ESPATULA DE ACO  6CM DTOOLS,12,35.52,1,12
VERSOTOOLS,2028,ESPATULA DE ACO  6CM DTOOLS,8,25.18,1,8
VERSOTOOLS,2028,ESPATULA DE ACO  6CM DTOOLS,6,18.52,1,6
VERSOTOOLS,2028,ESPATULA DE ACO  6CM DTOOLS,6,19.2,1,6
VERSOTOOLS,2027,ESPATULA DE ACO  4CM DTOOLS,9.71,194.48,6,68
VERSOTOOLS,2027,ESPATULA DE ACO  4CM DTOOLS,4,11.2,1,4
VERSOTOOLS,2027,ESPATULA DE ACO  4CM DTOOLS,12,32.28,1,12
VERSOTOOLS,2027,ESPATULA DE ACO  4CM DTOOLS,6,17.15,1,6
VERSOTOOLS,2027,ESPATULA DE ACO  4CM DTOOLS,6,17.4,1,6
VERSOTOOLS,2030,ESPATULA DE ACO 10CM DTOOLS,6.54,273.6,9,72
VERSOTOOLS,2030,ESPATULA DE ACO 10CM DTOOLS,12,133.92,3,36
VERSOTOOLS,2030,ESPATULA DE ACO 10CM DTOOLS,12,42.96,1,12
VERSOTOOLS,2030,ESPATULA DE ACO 10CM DTOOLS,10,38.02,1,10
VERSOTOOLS,2030,ESPATULA DE ACO 10CM DTOOLS,6,22.34,1,6
VERSOTOOLS,2030,ESPATULA DE ACO 10CM DTOOLS,6,23.16,1,6
VERSOTOOLS,2029,ESPATULA DE ACO  8CM DTOOLS,8.6,301.86,9,86
VERSOTOOLS,2029,ESPATULA DE ACO  8CM DTOOLS,11.5,158.24,3,46
VERSOTOOLS,2029,ESPATULA DE ACO  8CM DTOOLS,12,39.6,1,12
VERSOTOOLS,2029,ESPATULA DE ACO  8CM DTOOLS,4,13.75,1,4
VERSOTOOLS,2029,ESPATULA DE ACO  8CM DTOOLS,6,21.36,1,6
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,6,74.88,1,6
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,15,337.2,2,30
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,6,77.52,1,6
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,4.5,115.96,2,9
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,6,72.3,1,6
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,7.38,1180.8,12,96
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,3,36.6,1,3
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,16.5,354.42,2,33
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,9,597.78,6,54
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,9,104.13,1,9
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,6.75,343.71,4,27
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,10.5,250.53,2,21
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,9,109.26,1,9
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,13.5,292.95,2,27
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,18,214.75,1,18
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,18,223.61,1,18
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,36,433.94,1,36
VERSOTOOLS,3797,ARCO DE SERRA FIXO 12'' DTOOLS,18,226.45,1,18
VERSOTOOLS,10,VASSOURA DTOOLS,15,67.2,2,30
VERSOTOOLS,10,VASSOURA DTOOLS,20,45.2,1,20
VERSOTOOLS,120,MACHADO 20cm VERSOTOOLS,2,69.58,1,2
